ID;Municipios;Poblacion;Densidad Comercial;Renta Por Hogar
03078;Hondón de los Frailes;1’300;61.6; 18’200 € 
03079;Ibi;23’650;319.9; 29’150 € 
03080;Jacarilla;2’030;476.8; 24’850 € 
03081;Xaló;2’890;17.3; 23’350 € 
03082;Jávea/Xàbia;27’980;340.7; 24’850 € 
03083;Jijona/Xixona;6’860;208.4; 28’200 € 
03084;Lorcha/Orxa, l';580;0; 28’950 € 
03085;Llíber;880;0; 21’600 € 
03086;Millena;240;0; 26’900 € 
03088;Monforte del Cid;8’500;152.4; 26’700 € 
03089;Monóvar/Monòver;12’190;279.6; 22’750 € 
03090;Mutxamel;25’690;174.1; 32’650 € 
03091;Murla;550;0; 21’350 € 
03092;Muro de Alcoy;9’330;371.8; 27’650 € 
03093;Novelda;25’610;388.7; 26’900 € 
03094;Nucia, la;18’110;497.3; 27’650 € 
03095;Ondara;7’080;1657.1; 26’050 € 
03096;Onil;7’570;645.4; 27’800 € 
03097;Orba;2’230;0; 22’700 € 
03098;Orxeta;790;559.1; 24’250 € 
03099;Orihuela;78’940;620; 24’350 € 
03100;Parcent;980;0; 21’400 € 
03101;Pedreguer;8’010;76.2; 25’700 € 
03102;Pego;10’240;448.8; 25’650 € 
03103;Penàguila;270;0; 24’550 € 
03104;Petrer;34’000;627.3; 24’750 € 
03105;Pinós, el/Pinoso;8’140;349.1; 22’700 € 
03106;Planes;690;0; 24’450 € 
03107;Polop;5’070;0; 23’350 € 
03109;Rafal;4’600;369.6; 25’100 € 
03110;Ràfol d'Almúnia, el;670;0; 24’750 € 
03111;Redován;8’060;214.7; 24’200 € 
03112;Relleu;1’170;0; 22’950 € 
03113;Rojales;15’980;708.9; 19’350 € 
03114;Romana, la;2’540;0; 21’900 € 
03115;Sagra;430;0; 22’800 € 
03116;Salinas;1’640;51.8; 22’750 € 
03117;Sanet y Negrals;700;425.9; 22’050 € 
03118;San Fulgencio;8’450;1161.7; 17’600 € 
03119;Sant Joan d'Alacant;24’370;1014.8; 32’500 € 
03120;San Miguel de Salinas;6’550;93.1; 20’500 € 
03121;Santa Pola;34’150;547.9; 24’200 € 
03122;San Vicente del Raspeig/Sant Vicent del Raspeig;58’910;229.5; 30’250 € 
03123;Sax;9’940;301.4; 25’200 € 
03124;Sella;580;0; 25’250 € 
03125;Senija;610;0; 24’150 € 
03127;Tàrbena;640;202.5; 18’800 € 
03128;Teulada;11’460;526.9; 22’600 € 
03129;Tibi;1’690;88.8; 27’750 € 
03130;Tollos;40;0; 25’250 € 
03131;Tormos;330;0; 25’550 € 
03132;Torremanzanas/Torre de les Maçanes, la;680;0; 23’550 € 
03133;Torrevieja;82’840;578.1; 19’750 € 
03134;Vall d'Alcalà, la;160;0; 21’300 € 
03135;Vall d'Ebo, la;200;0; 25’900 € 
03136;Vall de Gallinera;560;0; 23’050 € 
03137;Vall de Laguar, la;840;0; 23’500 € 
03138;Verger, el;4’840;712.7; 24’350 € 
03139;Villajoyosa/Vila Joiosa, la;34’680;309.7; 25’000 € 
03140;Villena;34’020;268.7; 26’000 € 
03901;Poblets, els;2’720;0; 23’650 € 
03902;Pilar de la Horadada;22’600;437.3; 26’350 € 
03903;Montesinos, Los;5’120;604.3; 22’100 € 
03904;San Isidro;2’150;28; 24’050 € 
04001;Abla;1’260;170.9; 23’050 € 
04002;Abrucena;1’210;0; 20’000 € 
04003;Adra;25’500;286.3; 23’850 € 
04004;Albánchez;730;82.6; 18’750 € 
04005;Alboloduy;610;343.1; 21’450 € 
04006;Albox;12’070;244.2; 24’550 € 
04007;Alcolea;850;117.8; 17’200 € 
04008;Alcóntar;540;203; 25’100 € 
04009;Alcudia de Monteagud;130;0; 24’950 € 
04010;Alhabia;670;340.7; 17’750 € 
04011;Alhama de Almería;3’730;230.1; 22’200 € 
04012;Alicún;200;0; 21’300 € 
04013;Almería;200’750;305.3; 30’050 € 
04014;Almócita;200;0; 23’300 € 
04015;Alsodux;130;0; 26’450 € 
04016;Antas;3’360;298.1; 25’950 € 
04017;Arboleas;4’680;128.1; 17’950 € 
04018;Armuña de Almanzora;310;623; 23’450 € 
04019;Bacares;250;0; 21’300 € 
04020;Bayárcal;320;283.9; 21’050 € 
04021;Bayarque;220;0; 22’900 € 
04022;Bédar;970;71.9; 16’750 € 
04023;Beires;130;0; 27’350 € 
04024;Benahadux;4’530;186.5; 26’500 € 
04027;Benizalón;260;0; 17’850 € 
04028;Bentarique;240;0; 19’900 € 
04029;Berja;12’710;265.8; 22’900 € 
04030;Canjáyar;1’180;76.4; 19’250 € 
04031;Cantoria;3’550;84.6; 22’350 € 
04032;Carboneras;8’180;280.6; 27’250 € 
04033;Castro de Filabres;120;0; 25’750 € 
04034;Cóbdar;170;0; 23’750 € 
04035;Cuevas del Almanzora;14’620;251; 24’400 € 
04036;Chercos;290;173.6; 20’550 € 
04037;Chirivel;1’500;229.2; 21’450 € 
04038;Dalías;4’100;102.4; 23’800 € 
04041;Enix;540;0; 22’100 € 
04043;Felix;660;0; 21’250 € 
04044;Fines;2’160;116.7; 24’050 € 
04045;Fiñana;1’980;177; 20’850 € 
04046;Fondón;1’030;0; 20’450 € 
04047;Gádor;3’010;194.1; 20’050 € 
04048;Gallardos, Los;3’000;139.5; 23’400 € 
04049;Garrucha;9’870;387.3; 23’550 € 
04050;Gérgal;1’110;153.6; 19’800 € 
04051;Huécija;490;0; 19’450 € 
04052;Huércal de Almería;17’980;489.6; 29’650 € 
04053;Huércal-Overa;19’740;332.2; 28’250 € 
04054;Illar;440;0; 19’800 € 
04055;Instinción;460;0; 17’300 € 
04056;Laroya;200;0; 24’000 € 
04057;Láujar de Andarax;1’590;62.9; 17’950 € 
04058;Líjar;400;892; 22’350 € 
04059;Lubrín;1’490;67.2; 19’950 € 
04060;Lucainena de las Torres;580;0; 20’350 € 
04061;Lúcar;770;155.4; 20’950 € 
04062;Macael;5’450;249.8; 26’700 € 
04063;María;1’240;145.7; 24’050 € 
04064;Mojácar;7’260;671.9; 22’650 € 
04065;Nacimiento;480;0; 20’650 € 
04066;Níjar;31’460;223.7; 22’800 € 
04067;Ohanes;560;267.4; 16’800 € 
04068;Olula de Castro;190;0; 24’900 € 
04069;Olula del Río;6’260;782.8; 25’300 € 
04070;Oria;2’210;133.2; 19’750 € 
04071;Padules;440;0; 22’050 € 
04072;Partaloa;1’060;0; 17’550 € 
04073;Paterna del Río;390;0; 16’550 € 
04074;Pechina;4’140;100.2; 24’050 € 
04075;Pulpí;10’340;332.9; 28’050 € 
04076;Purchena;1’640;0; 23’200 € 
04077;Rágol;310;0; 20’600 € 
04078;Rioja;1’490;127.7; 22’900 € 
04079;Roquetas de Mar;98’740;398.2; 26’500 € 
04080;Santa Cruz de Marchena;200;0; 19’600 € 
04081;Santa Fe de Mondújar;480;157.2; 20’050 € 
04082;Senés;290;0; 24’600 € 
04083;Serón;2’040;247.7; 23’800 € 
04084;Sierro;380;131.6; 20’850 € 
04085;Somontín;440;0; 21’050 € 
04086;Sorbas;2’470;233.9; 21’000 € 
04087;Suflí;200;0; 23’500 € 
04088;Tabernas;3’890;290.5; 21’250 € 
04089;Taberno;1’000;215.9; 20’400 € 
04090;Tahal;350;0; 24’800 € 
04091;Terque;370;241.9; 21’150 € 
04092;Tíjola;3’530;320.3; 25’100 € 
04093;Turre;3’890;334; 18’350 € 
04094;Turrillas;260;0; 20’600 € 
04095;Uleila del Campo;820;245.1; 20’400 € 
04096;Urrácal;370;0; 24’100 € 
04097;Velefique;230;0; 23’200 € 
04098;Vélez-Blanco;1’950;149; 21’450 € 
04099;Vélez-Rubio;6’520;224; 23’800 € 
04100;Vera;17’700;529.8; 25’800 € 
04101;Viator;6’040;101; 24’650 € 
04102;Vícar;27’390;274.2; 24’300 € 
04103;Zurgena;2’900;231.4; 20’100 € 
04901;Tres Villas, Las;560;0; 19’500 € 
04902;Ejido, El;84’010;337.9; 25’500 € 
04903;Mojonera, La;9’090;206.8; 27’200 € 
04904;Balanegra;2’960;196.4; 23’950 € 
05001;Adanero;200;0; 24’800 € 
05002;Adrada, La;2’760;364.5; 22’800 € 
05005;Albornos;170;0; 21’050 € 
05007;Aldeanueva de Santa Cruz;110;0; 21’200 € 
05008;Aldeaseca;220;0; 23’950 € 
05010;Aldehuela, La;150;0; 20’600 € 
05012;Amavida;130;0; 20’200 € 
05013;Arenal, El;940;105; 22’700 € 
05014;Arenas de San Pedro;6’430;476.7; 23’200 € 
05015;Arevalillo;70;0; 22’900 € 
05016;Arévalo;7’880;508.2; 28’100 € 
05017;Aveinte;80;0; 22’900 € 
05018;Avellaneda;30;0; 22’900 € 
05019;Ávila;57’950;479.7; 31’350 € 
05021;Barco de Ávila, El;2’300;272.8; 25’350 € 
05022;Barraco, El;1’970;339.6; 25’000 € 
05023;Barromán;180;0; 28’700 € 
05024;Becedas;180;0; 19’400 € 
05025;Becedillas;80;0; 22’900 € 
05026;Bercial de Zapardiel;200;0; 23’200 € 
05027;Berlanas, Las;330;0; 32’850 € 
05029;Bernuy-Zapardiel;90;0; 22’900 € 
05030;Berrocalejo de Aragona;50;0; 22’900 € 
05033;Blascomillán;180;0; 23’600 € 
05034;Blasconuño de Matacabras;10;0; 22’900 € 
05035;Blascosancho;100;0; 26’750 € 
05036;Bohodón, El;120;0; 21’850 € 
05037;Bohoyo;230;0; 18’800 € 
05038;Bonilla de la Sierra;130;0; 20’900 € 
05039;Brabos;40;0; 22’900 € 
05040;Bularros;60;0; 22’900 € 
05041;Burgohondo;1’230;650.7; 21’100 € 
05042;Cabezas de Alambre;160;0; 27’000 € 
05043;Cabezas del Pozo;70;0; 22’900 € 
05044;Cabezas del Villar;260;0; 19’850 € 
05045;Cabizuela;80;0; 22’900 € 
05046;Canales;40;0; 22’900 € 
05047;Candeleda;5’050;168.5; 21’500 € 
05048;Cantiveros;100;0; 20’950 € 
05049;Cardeñosa;430;0; 26’600 € 
05051;Carrera, La;160;0; 22’900 € 
05052;Casas del Puerto;80;0; 22’900 € 
05053;Casasola;70;0; 22’900 € 
05054;Casavieja;1’420;249.6; 19’150 € 
05055;Casillas;650;139.3; 19’950 € 
05056;Castellanos de Zapardiel;90;0; 22’900 € 
05057;Cebreros;3’250;260.9; 23’400 € 
05058;Cepeda la Mora;70;0; 22’900 € 
05059;Cillán;80;0; 22’900 € 
05060;Cisla;100;0; 26’450 € 
05061;Colilla, La;340;0; 25’750 € 
05062;Collado de Contreras;160;0; 25’050 € 
05063;Collado del Mirón;30;0; 22’900 € 
05064;Constanzana;110;0; 24’850 € 
05065;Crespos;490;303.6; 28’250 € 
05066;Cuevas del Valle;510;0; 22’200 € 
05067;Chamartín;70;0; 22’900 € 
05069;Donjimeno;70;0; 22’900 € 
05070;Donvidas;30;0; 22’900 € 
05072;Espinosa de los Caballeros;110;0; 22’900 € 
05073;Flores de Ávila;290;0; 25’850 € 
05074;Fontiveros;730;237.1; 28’650 € 
05075;Fresnedilla;110;0; 22’900 € 
05076;Fresno, El;590;0; 28’850 € 
05077;Fuente el Saúz;160;0; 26’400 € 
05078;Fuentes de Año;100;0; 22’900 € 
05079;Gallegos de Altamiros;60;0; 22’900 € 
05080;Gallegos de Sobrinos;40;0; 22’900 € 
05081;Garganta del Villar;40;0; 22’900 € 
05082;Gavilanes;580;135.4; 20’300 € 
05083;Gemuño;150;0; 25’300 € 
05084;Gilbuena;60;0; 22’900 € 
05085;Gil García;40;0; 22’900 € 
05086;Gimialcón;70;0; 22’900 € 
05087;Gotarrendura;170;0; 27’900 € 
05088;Grandes y San Martín;30;0; 22’900 € 
05089;Guisando;520;0; 23’550 € 
05090;Gutierre-Muñoz;70;0; 22’900 € 
05092;Hernansancho;160;0; 23’400 € 
05093;Herradón de Pinares;440;0; 19’500 € 
05094;Herreros de Suso;130;0; 21’950 € 
05095;Higuera de las Dueñas;270;0; 21’400 € 
05096;Hija de Dios, La;80;0; 22’900 € 
05097;Horcajada, La;500;181.8; 20’000 € 
05099;Horcajo de las Torres;480;0; 23’700 € 
05100;Hornillo, El;280;0; 24’900 € 
05101;Hoyocasero;280;0; 23’300 € 
05102;Hoyo de Pinares, El;2’160;329.2; 21’100 € 
05103;Hoyorredondo;60;0; 22’900 € 
05104;Hoyos del Collado;30;0; 22’900 € 
05105;Hoyos del Espino;370;188.7; 28’300 € 
05106;Hoyos de Miguel Muñoz;30;0; 22’900 € 
05107;Hurtumpascual;50;0; 22’900 € 
05108;Junciana;40;0; 22’900 € 
05109;Langa;470;0; 27’050 € 
05110;Lanzahíta;810;220.9; 19’850 € 
05112;Losar del Barco, El;110;0; 21’250 € 
05113;Llanos de Tormes, Los;60;0; 22’900 € 
05114;Madrigal de las Altas Torres;1’380;181.2; 23’650 € 
05115;Maello;640;94.3; 25’100 € 
05116;Malpartida de Corneja;90;0; 22’900 € 
05117;Mamblas;200;0; 25’300 € 
05118;Mancera de Arriba;70;0; 22’900 € 
05119;Manjabálago y Ortigosa de Rioalmar;20;0; 22’900 € 
05120;Marlín;30;0; 22’900 € 
05121;Martiherrero;340;0; 31’300 € 
05122;Martínez;110;0; 18’400 € 
05123;Mediana de Voltoya;120;0; 35’550 € 
05124;Medinilla;100;0; 22’900 € 
05125;Mengamuñoz;60;0; 22’900 € 
05126;Mesegar de Corneja;60;0; 22’900 € 
05127;Mijares;740;424; 21’400 € 
05128;Mingorría;380;0; 30’450 € 
05129;Mirón, El;110;0; 23’900 € 
05130;Mironcillo;100;0; 28’950 € 
05131;Mirueña de los Infanzones;80;0; 22’900 € 
05132;Mombeltrán;930;385.4; 23’350 € 
05133;Monsalupe;60;0; 22’900 € 
05134;Moraleja de Matacabras;50;0; 22’900 € 
05135;Muñana;340;0; 25’500 € 
05136;Muñico;80;0; 22’900 € 
05138;Muñogalindo;330;0; 29’750 € 
05139;Muñogrande;70;0; 22’900 € 
05140;Muñomer del Peco;110;0; 24’000 € 
05141;Muñopepe;100;0; 22’900 € 
05142;Muñosancho;90;0; 22’900 € 
05143;Muñotello;70;0; 22’900 € 
05144;Narrillos del Álamo;70;0; 22’900 € 
05145;Narrillos del Rebollar;40;0; 22’900 € 
05147;Narros del Castillo;160;0; 27’600 € 
05148;Narros del Puerto;30;0; 22’900 € 
05149;Narros de Saldueña;110;0; 19’850 € 
05151;Navacepedilla de Corneja;90;0; 22’900 € 
05152;Nava de Arévalo;710;0; 30’450 € 
05153;Nava del Barco;80;0; 22’900 € 
05154;Navadijos;30;0; 22’900 € 
05155;Navaescurial;50;0; 22’900 € 
05156;Navahondilla;360;0; 25’200 € 
05157;Navalacruz;220;0; 28’100 € 
05158;Navalmoral;340;0; 20’750 € 
05159;Navalonguilla;210;0; 18’050 € 
05160;Navalosa;320;0; 20’900 € 
05161;Navalperal de Pinares;770;245.8; 22’750 € 
05162;Navalperal de Tormes;90;0; 22’900 € 
05163;Navaluenga;2’140;234.2; 21’450 € 
05164;Navaquesera;20;0; 22’900 € 
05165;Navarredonda de Gredos;420;240.6; 26’000 € 
05166;Navarredondilla;180;0; 24’300 € 
05167;Navarrevisca;270;0; 21’150 € 
05168;Navas del Marqués, Las;5’230;236.7; 21’500 € 
05169;Navatalgordo;240;0; 21’350 € 
05170;Navatejares;50;0; 22’900 € 
05171;Neila de San Miguel;60;0; 22’900 € 
05172;Niharra;190;0; 28’000 € 
05173;Ojos-Albos;80;0; 22’900 € 
05174;Orbita;70;0; 22’900 € 
05175;Oso, El;150;0; 22’800 € 
05176;Padiernos;280;0; 27’550 € 
05177;Pajares de Adaja;140;0; 30’300 € 
05178;Palacios de Goda;390;0; 26’450 € 
05179;Papatrigo;230;0; 22’250 € 
05180;Parral, El;60;0; 22’900 € 
05181;Pascualcobo;40;0; 22’900 € 
05182;Pedro Bernardo;810;198.3; 19’350 € 
05183;Pedro-Rodríguez;140;0; 22’800 € 
05184;Peguerinos;270;0; 23’400 € 
05185;Peñalba de Ávila;120;0; 23’050 € 
05186;Piedrahíta;1’750;665.9; 26’850 € 
05187;Piedralaves;2’140;130.6; 20’400 € 
05188;Poveda;40;0; 22’900 € 
05189;Poyales del Hoyo;430;198.6; 16’300 € 
05190;Pozanco;50;0; 22’900 € 
05191;Pradosegar;100;0; 25’400 € 
05192;Puerto Castilla;110;0; 22’350 € 
05193;Rasueros;170;0; 21’200 € 
05194;Riocabado;130;0; 25’250 € 
05195;Riofrío;200;0; 24’000 € 
05196;Rivilla de Barajas;70;0; 22’900 € 
05197;Salobral;120;0; 26’450 € 
05198;Salvadiós;70;0; 22’900 € 
05199;San Bartolomé de Béjar;40;0; 22’900 € 
05200;San Bartolomé de Corneja;40;0; 22’900 € 
05201;San Bartolomé de Pinares;520;0; 21’200 € 
05204;Sanchidrián;730;147.2; 26’150 € 
05205;Sanchorreja;80;0; 22’900 € 
05206;San Esteban de los Patos;20;0; 22’900 € 
05207;San Esteban del Valle;740;163; 19’000 € 
05208;San Esteban de Zapardiel;50;0; 22’900 € 
05209;San García de Ingelmos;70;0; 22’900 € 
05210;San Juan de la Encinilla;70;0; 22’900 € 
05211;San Juan de la Nava;470;0; 20’350 € 
05212;San Juan del Molinillo;210;0; 20’450 € 
